time,src_ip,dst_ip,protocol,severity,status
18:09:58,10.153.0.36,45.112.149.2,UDP,0,Normal
18:09:58,45.112.149.2,10.153.0.36,UDP,14,Attack
18:09:58,10.153.0.36,157.240.242.60,TCP,30,Attack
18:09:58,157.240.242.60,10.153.0.36,TCP,30,Attack
18:09:58,104.18.39.21,10.153.0.36,TCP,22,Attack
18:09:58,10.153.0.36,104.18.39.21,TCP,0,Normal
18:09:58,0.0.0.0,224.0.0.1,Other,20,Attack
18:09:58,10.153.0.36,224.0.0.252,Other,20,Attack
18:09:58,10.153.0.36,224.0.0.251,Other,20,Attack
18:09:58,10.153.0.36,142.250.70.42,TCP,0,Normal
18:09:58,142.250.70.42,10.153.0.36,TCP,0,Normal
18:09:58,10.153.0.36,239.255.255.250,Other,20,Attack
18:09:58,10.153.0.36,20.189.173.8,TCP,16,Attack
18:09:58,10.153.0.36,224.0.0.251,UDP,25,Attack
18:09:58,20.189.173.8,10.153.0.36,TCP,30,Attack
18:09:58,10.153.0.2,255.255.255.255,UDP,34,Attack
18:09:58,10.153.0.36,142.251.12.188,TCP,14,Attack
18:09:58,142.251.12.188,10.153.0.36,TCP,0,Normal
18:09:58,10.153.0.36,20.190.146.34,TCP,16,Attack
18:09:58,20.190.146.34,10.153.0.36,TCP,30,Attack
18:09:58,10.153.0.36,45.112.149.3,UDP,0,Normal
18:09:58,10.153.0.36,23.100.109.78,TCP,16,Attack
18:09:58,45.112.149.3,10.153.0.36,UDP,0,Normal
